Type,Year,Enrollment
All 2-year Institutions,2003,5475738
All 2-year Institutions,2004,5537605
All 2-year Institutions,2005,5575717
All 2-year Institutions,2006,5709647
All 2-year Institutions,2007,5892298
All 2-year Institutions,2008,6321299
All 2-year Institutions,2009,6824914
All 2-year Institutions,2010,7071510
All 2-year Institutions,2011,6970814
All 2-year Institutions,2012,6789032
All 2-year Institutions,2013,6653219
All 2-year Institutions,2014,6459613
All 2-year Institutions,2015,6273283
All 2-year Institutions,2016,5886434
All 2-year Institutions,2017,5756190
All 2-year Institutions,2018,5574013
All 2-year Institutions,2019,5404778
All 2-year Institutions,2020,4725640
All 2-year Institutions,2021,4726438
All 4-year Institutions,2003,9151318
All 4-year Institutions,2004,9544909
All 4-year Institutions,2005,9831316
All 4-year Institutions,2006,10102536
All 4-year Institutions,2007,10641905
All 4-year Institutions,2008,11149128
All 4-year Institutions,2009,11939012
All 4-year Institutions,2010,12357984
All 4-year Institutions,2011,12577109
All 4-year Institutions,2012,12754081
All 4-year Institutions,2013,12948694
All 4-year Institutions,2014,13202762
All 4-year Institutions,2015,13276262
All 4-year Institutions,2016,13553520
All 4-year Institutions,2017,13594788
All 4-year Institutions,2018,13745809
All 4-year Institutions,2019,13865034
All 4-year Institutions,2020,13950149
All 4-year Institutions,2021,13963599
All Private for-profit Institutions,2003,317635
All Private for-profit Institutions,2004,425807
All Private for-profit Institutions,2005,497968
All Private for-profit Institutions,2006,527046
All Private for-profit Institutions,2007,615269
All Private for-profit Institutions,2008,777229
All Private for-profit Institutions,2009,984942
All Private for-profit Institutions,2010,1024596
All Private for-profit Institutions,2011,1041853
All Private for-profit Institutions,2012,1020217
All Private for-profit Institutions,2013,1077776
All Private for-profit Institutions,2014,1116936
All Private for-profit Institutions,2015,995917
All Private for-profit Institutions,2016,870350
All Private for-profit Institutions,2017,806183
All Private for-profit Institutions,2018,648481
All Private for-profit Institutions,2019,621499
All Private for-profit Institutions,2020,671153
All Private for-profit Institutions,2021,681879
All Private not-for-profit Institutions,2003,2756017
All Private not-for-profit Institutions,2004,2848839
All Private not-for-profit Institutions,2005,2911161
All Private not-for-profit Institutions,2006,3021056
All Private not-for-profit Institutions,2007,3158417
All Private not-for-profit Institutions,2008,3282045
All Private not-for-profit Institutions,2009,3461285
All Private not-for-profit Institutions,2010,3558894
All Private not-for-profit Institutions,2011,3621616
All Private not-for-profit Institutions,2012,3762067
All Private not-for-profit Institutions,2013,3828788
All Private not-for-profit Institutions,2014,3914579
All Private not-for-profit Institutions,2015,3987757
All Private not-for-profit Institutions,2016,3990575
All Private not-for-profit Institutions,2017,4025103
All Private not-for-profit Institutions,2018,4171920
All Private not-for-profit Institutions,2019,4187102
All Private not-for-profit Institutions,2020,4124626
All Private not-for-profit Institutions,2021,4127350
All Public Institutions,2003,11553404
All Public Institutions,2004,11807868
All Public Institutions,2005,11997904
All Public Institutions,2006,12264081
All Public Institutions,2007,12760517
All Public Institutions,2008,13411153
All Public Institutions,2009,14317699
All Public Institutions,2010,14846004
All Public Institutions,2011,14884454
All Public Institutions,2012,14760829
All Public Institutions,2013,14695349
All Public Institutions,2014,14630860
All Public Institutions,2015,14565871
All Public Institutions,2016,14579029
All Public Institutions,2017,14519692
All Public Institutions,2018,14499421
All Public Institutions,2019,14461211
All Public Institutions,2020,13880010
All Public Institutions,2021,13880808
Overall,2003,14627056
Overall,2004,15082514
Overall,2005,15407033
Overall,2006,15812183
Overall,2007,16534203
Overall,2008,17470427
Overall,2009,18763926
Overall,2010,19429494
Overall,2011,19547923
Overall,2012,19543113
Overall,2013,19601913
Overall,2014,19662375
Overall,2015,19549545
Overall,2016,19439954
Overall,2017,19350978
Overall,2018,19319822
Overall,2019,19269812
Overall,2020,18675789
Overall,2021,18690037
