,Program_Description,Function_Description,Fund_Description,Location_Description,total_budget,total_fte,num_records
0,Accelerated Education,Community Services, Century Community Learning,Community Education-South,486319.3853154,6.8967,16
1,Accelerated Education,Community Services, Century Community Learning,School ,2780576.9190826,18.0,273
2,Accelerated Education,Community Services, Century Community Learning,"School, Family and Community Education",103071.33121939999,1.99,5
3,Accelerated Education,Community Services,"""Title  Part A Improving Basic Programs""",School ,24488.533625199998,0.23,18
4,Accelerated Education,Community Services,"""Title  Part A Improving Basic Programs""",Unallocated,369.48,0.0,6
5,Accelerated Education,Community Services,"""Title  Part A Improving Basic Programs""",Undistributed,65585.92,0.0,5
6,Accelerated Education,Community Services,"""Title  Part C - Migrant""",Undistributed,174.51,0.0,3
7,Accelerated Education,Community Services,Adult Basic Education,"School, Family and Community Education",166799.57533632,2.95,5
8,Accelerated Education,Community Services,Apprenticeship,School ,89763.45520353,2.55,6
9,Accelerated Education,Community Services,Community Ed-City,Community Education-South,477873.93422229995,8.75,10
10,Accelerated Education,Community Services,Community Ed-County,Community Education-South,120538.118523347,1.95,7
11,Accelerated Education,Community Services,Community Ed-County,School ,49282.4429357,1.0,1
12,Accelerated Education,Community Services,English Literacy Civics,School ,117088.62122172001,1.18,12
13,Accelerated Education,Community Services,English Literacy Civics,"School, Family and Community Education",0.77,0.0,1
14,Accelerated Education,Community Services,General Fund,Community Education-After School Program,-1.1099999999999999,0.0,2
15,Accelerated Education,Community Services,General Fund,Community Education-South,7804.389833043,0.0,4
16,Accelerated Education,Community Services,General Fund,Educational Support Services,97410.15,0.0,1
17,Accelerated Education,Community Services,General Fund,Learning Support Services,525.5408565230001,0.0,3
18,Accelerated Education,Community Services,General Fund,Program ABC,6281.42,0.0,2
19,Accelerated Education,Community Services,General Fund,School ,88105.916689348,2.0,6
20,Accelerated Education,Community Services,General Fund,"School, Family and Community Education",1117055.3412441101,4.5,32
21,Accelerated Education,Community Services,General Fund,State/Federal Compliance & Accountability,2999.77,0.0,1
22,Accelerated Education,Community Services,General Fund,Summer School,20548.326640299998,0.0,3
